Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,United States of America,1990,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",3614.393482674874,3413.468240067473,3790.9950700035265
All Population,United States of America,1991,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",3513.778747163631,3309.9483286960726,3687.6212305585195
All Population,United States of America,1992,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",3402.299344875585,3202.170098963314,3569.3053447754532
All Population,United States of America,1993,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",3394.0832389406655,3195.538469230852,3551.901131579391
All Population,United States of America,1994,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",3297.9505404560678,3112.260439172713,3433.004357295054
All Population,United States of America,1995,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",3230.186455004743,3054.1594668233665,3360.135956227417
All Population,United States of America,1996,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",3139.424734992467,2967.741855187548,3276.607428023201
All Population,United States of America,1997,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",3021.9506261171587,2845.0677026383314,3155.026140644146
All Population,United States of America,1998,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",2939.145590824166,2766.952852283655,3066.474039123835
All Population,United States of America,1999,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",2919.143678508114,2744.978990456768,3049.4125102578337
All Population,United States of America,2000,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",2807.3662558287224,2633.1491060721255,2943.809720809986
All Population,United States of America,2001,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",2716.160406825773,2542.6186542321657,2855.3881367359563
All Population,United States of America,2002,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",2644.1300328830084,2474.8011983115057,2780.205278472145
All Population,United States of America,2003,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",2541.3467694247565,2379.328072398738,2670.48542803439
All Population,United States of America,2004,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",2393.0665575948565,2237.2532649206337,2516.5982086874374
All Population,United States of America,2005,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",2332.257351278576,2176.6778572491758,2459.932238275746
All Population,United States of America,2006,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",2224.953476112814,2076.018226906108,2350.760787864752
All Population,United States of America,2007,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",2117.9402872977116,1977.001906809367,2242.326392991052
All Population,United States of America,2008,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",2069.4484123836924,1936.3239440016005,2187.6942381851522
All Population,United States of America,2009,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1972.7250039941794,1842.5518226952452,2088.120023846592
All Population,United States of America,2010,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1914.470990802963,1777.7845972647422,2031.5889725871716
All Population,United States of America,2011,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1870.9384496707046,1730.0536505504165,1982.6177877968692
All Population,United States of America,2012,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1827.9297358739216,1686.20675682695,1937.3127217544802
All Population,United States of America,2013,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1802.0181446191316,1661.7298941537565,1908.6641678771402
All Population,United States of America,2014,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1764.9771725093092,1621.966593051413,1863.5293059987384
All Population,United States of America,2015,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1755.915398918107,1618.5361090953063,1858.6082975881795
All Population,United States of America,2016,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1731.3369576510286,1597.6658498938878,1830.8455390231709
All Population,United States of America,2017,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1714.7392310503708,1586.9817799264124,1806.5613421232554
All Population,United States of America,2018,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1696.8344466761762,1564.178339020413,1799.8351565905048
All Population,United States of America,2019,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1608.5459978208396,1472.5430805210221,1704.6737238608189
All Population,United States of America,2020,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1645.7741068033727,1526.7673765775112,1736.2427881103488
All Population,United States of America,2021,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1630.5281577562198,1515.5999288826783,1715.6773697181836
All Population,United States of America,2022,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1630.6025331756366,1510.562163153907,1716.1837657246638
All Population,United States of America,2023,Age-standardized,Both,Ischemic heart disease,"DALYs per 100,000",1579.8544722261634,1453.4995207791465,1669.7098101372428

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2023. Seattle, WA: IHME, University of Washington, 2025. Available from https://vizhub.healthdata.org/gbd-compare/. (Accessed 6/26/2026). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
