Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,United States of America,1990,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.645143236332046,30.133689928342232,42.66902416721918
All Population,United States of America,1991,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.98739135037687,30.55393078891146,43.127804735230875
All Population,United States of America,1992,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",36.994143254997745,31.426899446423263,44.01539046737157
All Population,United States of America,1993,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",38.98285631070366,33.28516144610752,45.64306811394584
All Population,United States of America,1994,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",39.844503615537434,33.98556370521737,46.530301165004
All Population,United States of America,1995,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",40.56700377093959,34.6364820814828,47.45105503690398
All Population,United States of America,1996,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",41.472549335806434,35.603208609381184,48.548527089343644
All Population,United States of America,1997,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",42.280725824534194,36.40590766730272,49.47471498895229
All Population,United States of America,1998,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",42.77280161308499,36.85755988871475,49.685555551292
All Population,United States of America,1999,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",42.08990169530356,36.09497395962049,49.412028905022574
All Population,United States of America,2000,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",43.09882563325059,37.13374277162589,50.54724769882145
All Population,United States of America,2001,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",43.39047861215659,37.4838586981618,50.80637455076962
All Population,United States of America,2002,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",43.29821261159893,37.778204775051115,50.420473549303196
All Population,United States of America,2003,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",42.34912995153691,37.10138668955631,49.42985900768805
All Population,United States of America,2004,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",41.35926437159062,36.2729945654949,48.502137150546254
All Population,United States of America,2005,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",40.597546277587014,35.322195717754994,47.767159755090596
All Population,United States of America,2006,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",38.70936597596584,33.438702477919726,45.77917520106126
All Population,United States of America,2007,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",37.34828755752041,32.09051832749536,43.7593399617795
All Population,United States of America,2008,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",36.84664278431061,31.58122600308808,43.4684929285689
All Population,United States of America,2009,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.65832691863567,30.345243397582898,42.40638489668335
All Population,United States of America,2010,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.35259505929289,29.83861037368675,42.344365032607044
All Population,United States of America,2011,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.0304891144107,29.302170979979042,42.14348626995527
All Population,United States of America,2012,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.035534314201904,29.316909123101816,42.17155308398982
All Population,United States of America,2013,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.51001688149514,29.74450720724742,42.86017144276499
All Population,United States of America,2014,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.655177849160836,29.873424998624117,42.86445698800982
All Population,United States of America,2015,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",36.070429670194756,30.1346020693225,43.34420347844288
All Population,United States of America,2016,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.90093091425564,29.82622883402774,42.664414592541185
All Population,United States of America,2017,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.74071550527545,29.884198062467494,41.97822011418562
All Population,United States of America,2018,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.2861116932358,29.732906280368926,41.478193065608785
All Population,United States of America,2019,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.317710135396204,29.924316511430433,42.37508532561066
All Population,United States of America,2020,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.767128287345905,31.05010375378421,42.34030863665992
All Population,United States of America,2021,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.598752028490914,31.06680897241515,41.907368775766024
All Population,United States of America,2022,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",36.024531225310156,31.24400312711714,42.43775832734524
All Population,United States of America,2023,Age-standardized,Both,Lower extremity peripheral arterial disease,"DALYs per 100,000",35.587659080932205,30.615075751233707,42.01638186229734

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2023. Seattle, WA: IHME, University of Washington, 2025. Available from https://vizhub.healthdata.org/gbd-compare/. (Accessed 6/26/2026). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
