Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,United States of America,1990,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",3.9979924143911276,3.4389214808674944,4.365468353801265
All Population,United States of America,1991,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.037089232257291,3.4776583721408136,4.416101054999887
All Population,United States of America,1992,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.054884878580707,3.4977950155712656,4.426162111265078
All Population,United States of America,1993,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.13673689242351,3.570526183365317,4.515667065903586
All Population,United States of America,1994,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.134273542671234,3.543842611922194,4.508135583709564
All Population,United States of America,1995,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.173511934384543,3.581097462123895,4.541925501489445
All Population,United States of America,1996,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.243011473043931,3.6292380688450487,4.627057464282107
All Population,United States of America,1997,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.3113088084505815,3.6829648872106637,4.695858620087154
All Population,United States of America,1998,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.3944799057720525,3.7283548453360225,4.783684542068489
All Population,United States of America,1999,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.482623175060186,3.8049158101178873,4.883064847122763
All Population,United States of America,2000,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.4946624974046765,3.8257188330848595,4.887728133332101
All Population,United States of America,2001,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.49959284934777,3.81233226657111,4.893546273009837
All Population,United States of America,2002,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.511526194569712,3.8283997360431044,4.913146890628785
All Population,United States of America,2003,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.4968321889493605,3.8336532963969665,4.887794096137021
All Population,United States of America,2004,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.448936482267589,3.8191207964764895,4.860410037617645
All Population,United States of America,2005,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.511726552807217,3.890172916694831,4.936153981796409
All Population,United States of America,2006,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.510854200213347,3.88173325907873,4.937362861868983
All Population,United States of America,2007,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.578584038672157,3.9227482685806554,5.018347160939878
All Population,United States of America,2008,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.689062501590951,4.005940053195483,5.137760559812943
All Population,United States of America,2009,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.66644379792588,3.9693191407036443,5.131113414858031
All Population,United States of America,2010,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.75221607768852,4.02139651277757,5.232429456944953
All Population,United States of America,2011,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.792707079292663,4.029308807834181,5.275352857477394
All Population,United States of America,2012,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.855880418480983,4.055584219908414,5.349344001543497
All Population,United States of America,2013,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.938781882094911,4.110609178876864,5.4514558562727515
All Population,United States of America,2014,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",4.971811009191317,4.134066010752495,5.464767248827922
All Population,United States of America,2015,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",5.131228017774117,4.271110375532286,5.626816720512448
All Population,United States of America,2016,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",5.161977427631445,4.276404135754321,5.675973178712313
All Population,United States of America,2017,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",5.3020339444559745,4.387927545866849,5.826808755812772
All Population,United States of America,2018,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",5.370283936712948,4.41471130657916,5.905922890990809
All Population,United States of America,2019,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",5.555534070700535,4.576992100061555,6.097733037299727
All Population,United States of America,2020,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",5.861191290076154,4.9142618476642115,6.397260413224541
All Population,United States of America,2021,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",5.892859196666279,4.909808680587424,6.478925286446189
All Population,United States of America,2022,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",5.971681103734453,4.931928872599007,6.591162285058535
All Population,United States of America,2023,Age-standardized,Both,Atrial fibrillation and flutter,"Deaths per 100,000",5.9031834543069905,4.828807430410037,6.560737822057518

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2023. Seattle, WA: IHME, University of Washington, 2025. Available from https://vizhub.healthdata.org/gbd-compare/. (Accessed 6/26/2026). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
