Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,United States of America,1990,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.7574991259912007,1.5453754983144785,1.9457393058167662
All Population,United States of America,1991,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.7902930505110601,1.5779837774814789,1.9833814734601325
All Population,United States of America,1992,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.8615748139039394,1.6363078682755057,2.056103623367534
All Population,United States of America,1993,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.9810140313385194,1.741094792872827,2.1785662950226112
All Population,United States of America,1994,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",2.044855199806007,1.811485404660861,2.245276169066105
All Population,United States of America,1995,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",2.0886072748939037,1.8584819336794236,2.2930864225907026
All Population,United States of America,1996,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",2.150987069659313,1.9076356454342747,2.3639987734737575
All Population,United States of America,1997,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",2.1937986046248,1.919741273947646,2.42781302126939
All Population,United States of America,1998,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",2.220668866219644,1.9370447183948298,2.463755259077501
All Population,United States of America,1999,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",2.2132652617559314,1.9090597342739672,2.458151084431475
All Population,United States of America,2000,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",2.281474051568576,1.9792859959344118,2.545819439607468
All Population,United States of America,2001,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",2.294808855621901,1.9952256926479628,2.5530460759927824
All Population,United States of America,2002,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",2.2896072089869204,2.0000713628475997,2.5351490319496692
All Population,United States of America,2003,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",2.2402323554302406,1.9503487515705735,2.5028781708771013
All Population,United States of America,2004,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",2.1845978437178264,1.8912775420988077,2.4352150278149685
All Population,United States of America,2005,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",2.1377353799362595,1.845118941596933,2.375975596723059
All Population,United States of America,2006,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",2.019222095728567,1.7456460361005977,2.245031929325467
All Population,United States of America,2007,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.9260915689238605,1.6605211794531312,2.1384495563692565
All Population,United States of America,2008,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.8883961047286268,1.6139310455787341,2.0867335537617637
All Population,United States of America,2009,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.8159514815386277,1.54576868968459,2.017145510421692
All Population,United States of America,2010,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.801785467426612,1.5324650841542184,2.0167046298338214
All Population,United States of America,2011,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.7803643707627665,1.5025212561087582,1.9973628006466417
All Population,United States of America,2012,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.778782343196439,1.4990069010934683,2.0076602002990187
All Population,United States of America,2013,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.7971385671300968,1.5074855369917233,2.028330607676136
All Population,United States of America,2014,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.7900456444849193,1.5002691632942153,2.0103884826942684
All Population,United States of America,2015,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.8056242513802865,1.5222688961298108,2.020552489667146
All Population,United States of America,2016,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.7787051939056762,1.4919232368506898,1.99208495673444
All Population,United States of America,2017,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.7580982517246666,1.468948698369233,1.9694450095731955
All Population,United States of America,2018,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.7275241430175914,1.4418859843590928,1.9202163818589106
All Population,United States of America,2019,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.7193960322418722,1.443908137367867,1.9297704589686542
All Population,United States of America,2020,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.724183507938616,1.4748126741372891,1.9200175861102837
All Population,United States of America,2021,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.697249228011883,1.4542708487476452,1.8882399358052349
All Population,United States of America,2022,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.7204348809987706,1.4585184006948837,1.907798476643935
All Population,United States of America,2023,Age-standardized,Both,Lower extremity peripheral arterial disease,"Deaths per 100,000",1.6911786964088351,1.4200934397613556,1.8831224788760914

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2023. Seattle, WA: IHME, University of Washington, 2025. Available from https://vizhub.healthdata.org/gbd-compare/. (Accessed 6/26/2026). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
