Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,United States of America,1990,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",81.71001959954533,63.69335690191188,106.36100780419817
All Population,United States of America,1991,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",80.72157684768841,64.22959828479343,103.72495282989081
All Population,United States of America,1992,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",79.84769457103656,64.28436372977805,101.39344473881032
All Population,United States of America,1993,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",79.1560400485856,64.38290301443793,99.48522526361165
All Population,United States of America,1994,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",78.71137451476899,63.41004438422686,98.19703899035424
All Population,United States of America,1995,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",78.58687327128494,63.99230963905981,97.38954453368396
All Population,United States of America,1996,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",78.67227512522199,64.15875630368463,97.22968752291402
All Population,United States of America,1997,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",78.80545063575546,64.31941344770433,97.13349850561549
All Population,United States of America,1998,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",78.97218347221576,64.49204309681807,97.0338732095483
All Population,United States of America,1999,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",79.15315412797507,64.69247392079663,97.13350289267467
All Population,United States of America,2000,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",79.33889694772944,64.94394197428836,97.28985179408112
All Population,United States of America,2001,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",80.06294537489494,66.72985089785345,96.14428502854568
All Population,United States of America,2002,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",81.58727591722578,70.22538576521313,95.78791343847149
All Population,United States of America,2003,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",83.47943415087663,73.11398876718388,96.18478631051202
All Population,United States of America,2004,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",85.30145009436829,75.52683842200314,97.32002470323462
All Population,United States of America,2005,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",86.62521079909351,76.78339378167604,98.02866757413354
All Population,United States of America,2006,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",87.68630708872159,78.13853161092457,98.53275789402122
All Population,United States of America,2007,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",88.89623224773808,79.41280139793845,99.32496895083266
All Population,United States of America,2008,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",90.05901144564253,80.71083133447597,99.96518965280985
All Population,United States of America,2009,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",90.97753911311403,81.9916749250074,100.41860289142525
All Population,United States of America,2010,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",91.46459001842318,82.6806954619348,100.73565113689247
All Population,United States of America,2011,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",91.6393062685449,82.75909026564447,100.8139430601213
All Population,United States of America,2012,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",91.77941428916084,82.7703662941194,100.93830266947587
All Population,United States of America,2013,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",91.90733408387794,82.7639818133745,101.11890476261743
All Population,United States of America,2014,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",92.0481218202808,82.76240781634728,101.34741590162592
All Population,United States of America,2015,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",92.23877774722415,82.7986824849016,101.65033831242522
All Population,United States of America,2016,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",92.64647305221456,83.09204431553306,102.0332346392978
All Population,United States of America,2017,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",93.35082985414756,83.59794526110412,103.01258217578238
All Population,United States of America,2018,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",94.2339815645037,84.17298766266008,104.53138508384149
All Population,United States of America,2019,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",95.17949639417823,84.77323209981678,106.19255472523334
All Population,United States of America,2020,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",96.0703571730268,85.1444133245692,107.86641365320118
All Population,United States of America,2021,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",97.40882247820232,86.35873304634487,110.0950983248699
All Population,United States of America,2022,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",98.85940884270013,87.67966853474246,112.45366370931224
All Population,United States of America,2023,Age-standardized,Both,Atrial fibrillation and flutter,"New cases per 100,000",99.83334545930296,88.50979394468929,114.21703276988075

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2023. Seattle, WA: IHME, University of Washington, 2025. Available from https://vizhub.healthdata.org/gbd-compare/. (Accessed 6/26/2026). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
