Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,United States of America,1990,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",212.63061340040448,164.2033143148354,269.96234913057896
All Population,United States of America,1991,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",205.18994156446453,158.9378662399342,260.26425209381125
All Population,United States of America,1992,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",198.61715939861418,154.67171646340213,251.83811134008894
All Population,United States of America,1993,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",193.41170972217415,151.43732691906385,245.63098460233107
All Population,United States of America,1994,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",190.04713294883902,149.5015489384877,240.7998846660111
All Population,United States of America,1995,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",189.03322230778505,149.26859973280662,239.528344385956
All Population,United States of America,1996,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",190.06921570470905,149.90557394335642,240.99472261008052
All Population,United States of America,1997,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",192.1083886943498,151.23750506718355,243.42909151242645
All Population,United States of America,1998,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",194.5304615284,152.80579999785115,246.119490278026
All Population,United States of America,1999,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",196.70028590234736,154.24325106590052,248.5853171006734
All Population,United States of America,2000,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",197.98345292693364,155.26123138125715,249.9721766859918
All Population,United States of America,2001,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",198.50114142882072,157.0928811173972,249.81401107814176
All Population,United States of America,2002,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",198.80255213197128,159.98110447042762,248.2251711757551
All Population,United States of America,2003,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",198.92702354479204,163.18667457202463,245.19532010075497
All Population,United States of America,2004,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",198.9002516296798,165.3950244585795,241.63401729120366
All Population,United States of America,2005,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",198.79915077308294,165.9328142672987,237.85654412865964
All Population,United States of America,2006,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",198.61128191247033,168.97703661937257,233.01377964640608
All Population,United States of America,2007,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",198.33113114549494,172.34440261062466,228.64843233855507
All Population,United States of America,2008,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",198.05653467040167,173.530821330281,225.6943561424838
All Population,United States of America,2009,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",197.87582767835087,174.88079677299316,223.80733407057542
All Population,United States of America,2010,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",197.9164125459895,175.17393978174005,222.06253360814608
All Population,United States of America,2011,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",198.29712344671822,176.33080104347889,221.06350612309248
All Population,United States of America,2012,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",198.90925921076706,177.6990571555618,220.91396918988818
All Population,United States of America,2013,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",199.5726446036265,179.0271832594281,221.01458323775205
All Population,United States of America,2014,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",200.1083785273482,179.97066465242347,220.71140673989697
All Population,United States of America,2015,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",200.33197249007895,180.7573203031741,221.26856828696987
All Population,United States of America,2016,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",200.39616129514417,180.22491893413888,221.62128259801375
All Population,United States of America,2017,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",200.47927595275493,179.59278899601586,222.92841124489684
All Population,United States of America,2018,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",200.44755558793256,178.4675262103609,223.93437461638055
All Population,United States of America,2019,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",200.17121329401616,177.52586027479984,224.70158442565005
All Population,United States of America,2020,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",199.51702203294101,175.00216459244794,225.84415029877292
All Population,United States of America,2021,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",195.48447741696333,169.38840887524088,226.10092837433922
All Population,United States of America,2022,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",191.53923633699796,160.50674250621114,226.18524149222745
All Population,United States of America,2023,Age-standardized,Both,Lower extremity peripheral arterial disease,"New cases per 100,000",194.52201601224706,160.22787599240104,233.90233695524432

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2023. Seattle, WA: IHME, University of Washington, 2025. Available from https://vizhub.healthdata.org/gbd-compare/. (Accessed 6/26/2026). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
