Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,United States of America,1990,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",946.1595903528511,718.7950636237308,1214.6677213951425
All Population,United States of America,1991,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",937.4101975590996,720.457328076427,1185.504480817384
All Population,United States of America,1992,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",930.1396071518247,722.6275651709765,1165.9972438369252
All Population,United States of America,1993,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",924.7050772542585,731.2337747794925,1135.5318858976586
All Population,United States of America,1994,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",922.0379984572759,742.5252704511098,1123.6299066349554
All Population,United States of America,1995,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",922.5998001330145,743.503158880891,1120.6896954837148
All Population,United States of America,1996,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",925.9008383875109,748.2280752445673,1125.0155739134213
All Population,United States of America,1997,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",930.5825857314971,752.8901318432075,1131.527504493246
All Population,United States of America,1998,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",936.0261731323516,758.0184655705204,1139.0547309535161
All Population,United States of America,1999,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",941.4856349834278,763.4162864015922,1146.2231133546754
All Population,United States of America,2000,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",946.4409586249766,769.4453364095168,1151.9336274508119
All Population,United States of America,2001,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",958.750356018235,798.5822928971509,1144.4923276360096
All Population,United States of America,2002,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",982.4853045377693,843.8665356861931,1150.2186581656867
All Population,United States of America,2003,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1010.8078996605617,883.6321025835526,1165.6934132305826
All Population,United States of America,2004,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1037.211223897132,919.86081999193,1180.6082796196058
All Population,United States of America,2005,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1054.9817376024787,941.7735775489638,1190.156686754408
All Population,United States of America,2006,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1066.6773503787474,958.0452095779304,1193.9751251434702
All Population,United States of America,2007,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1078.7598218778912,971.6398710469583,1200.6761630330668
All Population,United States of America,2008,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1089.8069714904188,985.5335340552384,1210.1298490767308
All Population,United States of America,2009,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1098.506193008821,996.0967340680725,1221.062598694974
All Population,United States of America,2010,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1103.5208653295585,1002.4036294174022,1224.3720929580377
All Population,United States of America,2011,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1105.9035220295275,1003.8587125921555,1226.7418566470917
All Population,United States of America,2012,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1107.978471867824,1004.3133898493612,1229.0692177400383
All Population,United States of America,2013,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1109.9561613305814,1004.5409600258744,1231.429129442703
All Population,United States of America,2014,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1112.0287231357272,1004.7085802288078,1232.7969808373937
All Population,United States of America,2015,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1114.6260217094855,1005.9222792505592,1234.8185121029494
All Population,United States of America,2016,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1119.6952765441981,1012.1918678937358,1242.7547767593362
All Population,United States of America,2017,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1128.1733565684845,1021.0387323885038,1252.5701568039754
All Population,United States of America,2018,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1138.7256473696586,1027.2595119279113,1266.2822300206942
All Population,United States of America,2019,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1149.8931654563532,1032.2456430221903,1283.3766924202846
All Population,United States of America,2020,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1160.3419102684884,1036.4669146374933,1301.6968556967865
All Population,United States of America,2021,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1174.6891127125803,1050.7777294657135,1330.7132130004977
All Population,United States of America,2022,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1189.300904508062,1058.2899144371938,1363.7990664441256
All Population,United States of America,2023,Age-standardized,Both,Atrial fibrillation and flutter,"Prevalent cases per 100,000",1199.082454720518,1062.1454940183387,1375.0106870611382

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2023. Seattle, WA: IHME, University of Washington, 2025. Available from https://vizhub.healthdata.org/gbd-compare/. (Accessed 6/26/2026). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
