Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,United States of America,1990,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",5481.020318380234,4549.184191008174,6513.920959090097
All Population,United States of America,1991,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",5207.75846331763,4345.732189188482,6135.820426864524
All Population,United States of America,1992,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4963.9025643549685,4184.649044077782,5829.332009511452
All Population,United States of America,1993,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4759.739285038709,4053.43937647077,5589.8130093527825
All Population,United States of America,1994,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4606.235992262075,3970.653627965512,5340.736935745693
All Population,United States of America,1995,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4514.617216177083,3887.083961679827,5209.33819194995
All Population,United States of America,1996,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4473.698413118189,3876.2918211412994,5148.31895775759
All Population,United States of America,1997,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4458.388866023219,3890.3872792495913,5118.008740740278
All Population,United States of America,1998,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4457.418350594983,3914.604720524098,5095.708365038929
All Population,United States of America,1999,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4459.07470223038,3930.6309252617384,5079.833170284391
All Population,United States of America,2000,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4452.580714643878,3936.798616863362,5057.370610810713
All Population,United States of America,2001,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4435.5910575130265,3959.0988584041356,4997.624334480001
All Population,United States of America,2002,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4414.525712857052,3970.934015786451,4947.456249042166
All Population,United States of America,2003,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4390.190538203495,3972.93419666224,4876.237484616719
All Population,United States of America,2004,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4363.6188335614,3977.527977230072,4798.199044785361
All Population,United States of America,2005,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4336.032123727207,3975.091294021202,4743.830581526459
All Population,United States of America,2006,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4295.148759177496,3960.035665535999,4672.57731709546
All Population,United States of America,2007,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4235.528135034247,3920.433033715061,4584.317985016896
All Population,United States of America,2008,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4164.7101595107015,3855.420807741432,4495.7232243659555
All Population,United States of America,2009,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4091.04421441728,3785.804713941316,4413.744222517513
All Population,United States of America,2010,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",4023.2912309154435,3722.062470668458,4339.2869551514605
All Population,United States of America,2011,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",3951.656970213357,3658.747213871304,4263.94006208207
All Population,United States of America,2012,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",3868.138826474429,3582.36602223752,4172.697485776346
All Population,United States of America,2013,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",3781.9004502276825,3501.7311465401,4082.4845255522714
All Population,United States of America,2014,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",3702.3454546201033,3424.6245722002946,3993.7499577226977
All Population,United States of America,2015,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",3639.5778325944525,3362.7888968524117,3927.827726312653
All Population,United States of America,2016,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",3585.5843701872004,3307.6563513642063,3886.078871391229
All Population,United States of America,2017,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",3526.7835670292084,3245.734889603281,3828.9116710212406
All Population,United States of America,2018,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",3464.5671824302003,3179.240107062517,3779.596476005389
All Population,United States of America,2019,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",3399.87614099475,3109.7126737804742,3716.6483902861287
All Population,United States of America,2020,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",3334.097888984701,3033.080172725075,3678.6157088684236
All Population,United States of America,2021,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",3225.663789565769,2911.966931213325,3623.447696797029
All Population,United States of America,2022,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",3110.0407702737516,2764.4411639520854,3532.8530605689607
All Population,United States of America,2023,Age-standardized,Both,Ischemic heart disease,"Prevalent cases per 100,000",3053.8992605566445,2679.8259452265847,3460.362430804078

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2023. Seattle, WA: IHME, University of Washington, 2025. Available from https://vizhub.healthdata.org/gbd-compare/. (Accessed 6/26/2026). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
