Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,United States of America,1990,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",2080.7095428223643,1569.8396526727897,2682.3407165926988
All Population,United States of America,1991,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",2032.0783517818984,1544.5278349010775,2604.247200704295
All Population,United States of America,1992,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1990.6257513949956,1525.0886757492183,2557.4679536709027
All Population,United States of America,1993,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1959.4847282764233,1512.6698744077223,2521.520870714198
All Population,United States of America,1994,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1941.6128646226566,1509.1093540509298,2507.970957624854
All Population,United States of America,1995,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1940.176453671998,1517.8447449880412,2505.361041950626
All Population,United States of America,1996,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1957.5987057438292,1532.4390473163285,2526.1833411703196
All Population,United States of America,1997,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1988.1835526027062,1554.715542725419,2564.0203637913946
All Population,United States of America,1998,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",2023.0327779865827,1578.091602242312,2606.795507837234
All Population,United States of America,1999,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",2052.9143458130275,1597.8265985038133,2643.1171853320666
All Population,United States of America,2000,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",2068.75318876756,1607.6053408660375,2659.6306257057304
All Population,United States of America,2001,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",2067.0689153760477,1637.011962304447,2625.33506688297
All Population,United States of America,2002,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",2053.975186814458,1659.4234153588052,2580.374128916512
All Population,United States of America,2003,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",2035.0931384086932,1658.8931550161692,2520.101939375711
All Population,United States of America,2004,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",2015.931153673152,1657.727657161808,2457.1995096328315
All Population,United States of America,2005,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",2002.0808339985626,1654.6041339899346,2406.8027851429406
All Population,United States of America,2006,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1993.4621437418084,1689.6004604176194,2346.027885474959
All Population,United States of America,2007,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1986.3609844813486,1721.9046436569497,2289.690369252935
All Population,United States of America,2008,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1980.7237490871992,1743.920198900585,2245.7803217469313
All Population,United States of America,2009,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1976.2023170495202,1754.3017211563993,2219.914764234123
All Population,United States of America,2010,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1973.1797653677052,1764.8632053994033,2187.380789305251
All Population,United States of America,2011,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1973.3627306315134,1779.2667396736895,2172.01118266395
All Population,United States of America,2012,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1975.983542346554,1792.248470094843,2162.7552644523976
All Population,United States of America,2013,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1979.371963392203,1805.5097430160774,2160.6479687833316
All Population,United States of America,2014,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1980.883836918991,1813.185168391295,2156.860429467076
All Population,United States of America,2015,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1978.7422649028947,1816.7998555657844,2145.304068968965
All Population,United States of America,2016,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1972.7396964981797,1802.9618990010304,2149.172429100684
All Population,United States of America,2017,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1964.4010143071373,1783.5821159430607,2145.2721155002623
All Population,United States of America,2018,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1953.2072158122967,1755.5601205138441,2144.920343548485
All Population,United States of America,2019,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1938.5309893825029,1727.882273057085,2147.1077617378655
All Population,United States of America,2020,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1920.4608599264998,1700.4021341644548,2145.495623809812
All Population,United States of America,2021,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1869.5274894884556,1622.3882920693059,2125.024677517599
All Population,United States of America,2022,Age-standardized,Both,Lower extremity peripheral arterial disease,"Prevalent cases per 100,000",1820.038346809991,1526.6339925036423,2137.4003242516383
