measure,component,rate_1990,rate_2023,rate_2023_lower,rate_2023_upper,absolute_change_1990_2023,percent_change_1990_2023,eapc_percent,eapc_lower_percent,eapc_upper_percent,durbin_watson,ljung_box_p_lag1,quadratic_term_p,piecewise_break_year,piecewise_eapc_early_percent,piecewise_eapc_late_percent,piecewise_bic,piecewise_delta_bic_vs_linear
"Age-standardized prevalence per 100,000",IHD,5481.020318380234,3053.8992605566445,2679.8259452265847,3460.362430804078,-2427.1210578235896,-44.2822853563305,-1.3978900404052141,-1.576812613251466,-1.218642205921705,0.14929314004114758,3.6817905601242547e-07,0.04421992264048119,2010,-1.0625332935049525,-2.0242628906312343,-141.28220483620498,-15.525377369059655
"Age-standardized prevalence per 100,000",Stroke,1374.557298606369,1478.170647352871,1387.5671129833966,1569.694171220691,103.61334874650197,7.537943223723964,0.16819661467961655,0.012814861322008042,0.3238197719944269,0.05673006449596167,1.674491509831785e-08,2.6772213555764765e-16,2002,1.087793584410468,-0.23438943685425428,-226.44140129562368,-91.36547316387228
"Age-standardized prevalence per 100,000",AF/flutter,946.1595903528512,1199.082454720518,1062.1454940183387,1375.0106870611382,252.92286436766676,26.731522561996577,0.8796919526413038,0.7788998053938734,0.9805849052851645,0.1348826420216459,1.315667801064903e-07,0.8265526920310113,1998,0.403115505220919,0.9679223404787995,-155.4501797562591,-2.111489861419841
"Age-standardized prevalence per 100,000",PAD,2080.7095428223643,1833.5633296698547,1496.4202257192835,2198.6542468842385,-247.14621315250952,-11.877977587264276,-0.19243809548653568,-0.32695595739037353,-0.057738689461650505,0.2130352984134569,4.2638267752056904e-07,0.002359226644892207,2015,-0.04347086956163482,-0.9954941822761798,-168.60164385369382,-15.941307599043228
"Age-standardized prevalence per 100,000",Diabetes,4822.640949127672,7835.661189684541,7370.564952786476,8302.672057600163,3013.020240556869,62.47656154252723,1.4902789218402601,1.4192587919972022,1.5613487844352791,0.15767860654969343,1.6313835107914857e-06,6.5864470777640616e-06,1999,0.9567442184024832,1.6160176598374765,-253.55250599215634,-59.52054021830014
"Age-standardized prevalence per 100,000",CKD,7386.68482012104,7736.252391137963,7252.190812825879,8297.68600716807,349.56757101692347,4.732401334692327,0.13432839996245782,0.06342271656638587,0.20528432765161142,0.09219471195957997,1.5465038890029576e-08,4.1130497009933077e-10,2011,-0.04535974769812601,0.5432813872195075,-237.99553846818407,-53.00738563989245
"Age-standardized incidence per 100,000",IHD,330.1609226483521,194.3683302166876,168.58024470052615,221.3746940511508,-135.79259243166447,-41.12921400340721,-1.9423982302419374,-2.428684609640963,-1.4536882446647859,0.05236562730830639,3.265033398401377e-08,6.552870837785018e-16,2001,1.2884527159746861,-3.0849913200668877,-193.4243222109161,-135.16248754520248
"Age-standardized incidence per 100,000",Stroke,121.86832255501037,86.16959381324224,79.48481393446951,93.17171370073684,-35.69872874176812,-29.292869544219748,-0.769514847927999,-0.9581079938193238,-0.5805625875856424,0.20773601870338146,2.413572746507878e-06,0.025719289847805235,1998,-1.7782541554373976,-0.5821563681770225,-132.5876267186215,-8.602283005119872
"Age-standardized incidence per 100,000",AF/flutter,81.71001959954533,99.83334545930296,88.50979394468929,114.21703276988076,18.123325859757628,22.180053252439148,0.765882587218214,0.6448814938632363,0.8870291550809206,0.13386551280585743,5.990917838172773e-07,0.1823866877334075,1998,-0.0899434303852531,0.9246810131456673,-171.59344999120617,-19.01821579668291
"Age-standardized incidence per 100,000",PAD,212.63061340040448,194.52201601224704,160.22787599240104,233.90233695524432,-18.10859738815745,-8.51645823645214,0.010108846672629568,-0.1289480990279368,0.1493594103814111,0.30739208316883904,4.954817395544255e-05,0.9534709012172682,1998,-0.3849104235309819,0.08320658479552545,-157.18180090609104,-0.7059687099768439
