"source","source_endpoint","indicator_code","indicator","geography","sex","age_group","year","value_percent","ci_lower_percent","ci_upper_percent","source_value","source_updated","ckm_interpretation"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/BP_04?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","BP_04","Raised blood pressure, SBP >=140 or DBP >=90","United States of America","Both sexes","AGEGROUP_YEARS30-79","2011","15.264444","13.601706000","16.963184000","15.3 [13.6-17.0]","2024-04-29T15:59:45.237+02:00","Stage 1/2 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/BP_04?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","BP_04","Raised blood pressure, SBP >=140 or DBP >=90","United States of America","Both sexes","AGEGROUP_YEARS30-79","2012","15.212421","13.537068000","16.959730000","15.2 [13.5-17.0]","2024-04-29T15:59:45.237+02:00","Stage 1/2 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/BP_04?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","BP_04","Raised blood pressure, SBP >=140 or DBP >=90","United States of America","Both sexes","AGEGROUP_YEARS30-79","2013","15.231289","13.520284000","17.063108000","15.2 [13.5-17.1]","2024-04-29T15:59:45.237+02:00","Stage 1/2 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/BP_04?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","BP_04","Raised blood pressure, SBP >=140 or DBP >=90","United States of America","Both sexes","AGEGROUP_YEARS30-79","2014","15.326383","13.517931000","17.277483000","15.3 [13.5-17.3]","2024-04-29T15:59:45.237+02:00","Stage 1/2 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/BP_04?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","BP_04","Raised blood pressure, SBP >=140 or DBP >=90","United States of America","Both sexes","AGEGROUP_YEARS30-79","2015","15.492747","13.520937000","17.606970000","15.5 [13.5-17.6]","2024-04-29T15:59:45.237+02:00","Stage 1/2 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/BP_04?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","BP_04","Raised blood pressure, SBP >=140 or DBP >=90","United States of America","Both sexes","AGEGROUP_YEARS30-79","2016","15.71163","13.536716000","18.105762000","15.7 [13.5-18.1]","2024-04-29T15:59:45.237+02:00","Stage 1/2 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/BP_04?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","BP_04","Raised blood pressure, SBP >=140 or DBP >=90","United States of America","Both sexes","AGEGROUP_YEARS30-79","2017","15.984878","13.388941000","18.727274000","16.0 [13.4-18.7]","2024-04-29T15:59:45.237+02:00","Stage 1/2 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/BP_04?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","BP_04","Raised blood pressure, SBP >=140 or DBP >=90","United States of America","Both sexes","AGEGROUP_YEARS30-79","2018","16.270699","13.271875000","19.482738000","16.3 [13.3-19.5]","2024-04-29T15:59:45.237+02:00","Stage 1/2 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/BP_04?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","BP_04","Raised blood pressure, SBP >=140 or DBP >=90","United States of America","Both sexes","AGEGROUP_YEARS30-79","2019","16.555664","13.110278000","20.334192000","16.6 [13.1-20.3]","2024-04-29T15:59:45.237+02:00","Stage 1/2 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/NCD_BMI_30A?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","NCD_BMI_30A","Obesity among adults, BMI >=30 kg/m2","United States of America","Both sexes","AGEGROUP_YEARS18-PLUS","2011","36.3897","35.472876000","37.305784000","36.4 [35.5-37.3]","2026-05-27T16:07:31.457+02:00","Stage 1 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/NCD_BMI_30A?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","NCD_BMI_30A","Obesity among adults, BMI >=30 kg/m2","United States of America","Both sexes","AGEGROUP_YEARS18-PLUS","2012","36.885589","35.948920000","37.836739000","36.9 [35.9-37.8]","2026-05-27T16:07:31.457+02:00","Stage 1 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/NCD_BMI_30A?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","NCD_BMI_30A","Obesity among adults, BMI >=30 kg/m2","United States of America","Both sexes","AGEGROUP_YEARS18-PLUS","2013","37.349939","36.380726000","38.346073000","37.3 [36.4-38.3]","2026-05-27T16:07:31.457+02:00","Stage 1 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/NCD_BMI_30A?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","NCD_BMI_30A","Obesity among adults, BMI >=30 kg/m2","United States of America","Both sexes","AGEGROUP_YEARS18-PLUS","2014","37.790859","36.795464000","38.809285000","37.8 [36.8-38.8]","2026-05-27T16:07:31.457+02:00","Stage 1 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/NCD_BMI_30A?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","NCD_BMI_30A","Obesity among adults, BMI >=30 kg/m2","United States of America","Both sexes","AGEGROUP_YEARS18-PLUS","2015","38.210881","37.160110000","39.284211000","38.2 [37.2-39.3]","2026-05-27T16:07:31.457+02:00","Stage 1 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/NCD_BMI_30A?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","NCD_BMI_30A","Obesity among adults, BMI >=30 kg/m2","United States of America","Both sexes","AGEGROUP_YEARS18-PLUS","2016","38.611826","37.493330000","39.735812000","38.6 [37.5-39.7]","2026-05-27T16:07:31.457+02:00","Stage 1 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/NCD_BMI_30A?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","NCD_BMI_30A","Obesity among adults, BMI >=30 kg/m2","United States of America","Both sexes","AGEGROUP_YEARS18-PLUS","2017","38.98305","37.797454000","40.196863000","39.0 [37.8-40.2]","2026-05-27T16:07:31.457+02:00","Stage 1 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/NCD_BMI_30A?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","NCD_BMI_30A","Obesity among adults, BMI >=30 kg/m2","United States of America","Both sexes","AGEGROUP_YEARS18-PLUS","2018","39.317736","38.001746000","40.679073000","39.3 [38.0-40.7]","2026-05-27T16:07:31.457+02:00","Stage 1 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/NCD_BMI_30A?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","NCD_BMI_30A","Obesity among adults, BMI >=30 kg/m2","United States of America","Both sexes","AGEGROUP_YEARS18-PLUS","2019","39.621213","38.170129000","41.119641000","39.6 [38.2-41.1]","2026-05-27T16:07:31.457+02:00","Stage 1 risk-exposure background only"
"WHO Global Health Observatory API","https://ghoapi.azureedge.net/api/NCD_BMI_30A?$filter=SpatialDim%20eq%20%27USA%27%20and%20Dim1%20eq%20%27SEX_BTSX%27&$top=100","NCD_BMI_30A","Obesity among adults, BMI >=30 kg/m2","United States of America","Both sexes","AGEGROUP_YEARS18-PLUS","2020","39.903304","38.284776000","41.560140000","39.9 [38.3-41.6]","2026-05-27T16:07:31.457+02:00","Stage 1 risk-exposure background only"
